FAILED: Out of stock [101]
SUCCESS: purchased [EMER001] for Rs.50.000000
SUCCESS: purchased [EMER001] for Rs.50.000000
RESTOCK: [EMER001] +50
RESTOCK: [EMER001] +-50
FAILED: Out of stock [MED002]
SUCCESS: purchased [MED001] for Rs.120.000000
FAILED: Out of stock [101]
FAILED: Out of stock [EMER001]
2026-04-29 18:31:22,FAILED,"[User: Cust1] [ID: TXN3122948] FAILED: Payment declined [MED001]"
2026-04-29 18:31:22,FAILED,"[User: Cust1] [ID: TXN3122948] FAILED: Payment declined [MED001]"
2026-04-29 18:31:22,FAILED,"[User: Cust1] [ID: TXN3122948] FAILED: Payment declined [MED001]"
2026-04-29 18:31:22,FAILED,"[User: Cust1] [ID: TXN3122948] FAILED: Payment declined [MED001]"
2026-04-29 18:31:37,FAILED,"[User: Cust1] [ID: TXN3137172] FAILED: Payment declined [MED001]"
2026-04-29 18:32:12,PURCHASE,"[User: Cust1] [ID: TXN3212350] SUCCESS: [MED002] Rs.80.000000"
2026-04-29 18:32:55,FAILED,"FAILED: Product not found [FOOD001]"
2026-04-29 18:33:25,RESTOCK,"RESTOCK: [MED001] +1 | new stock: 51"
2026-04-29 20:13:25,PURCHASE,"[User: Cust1] [ID: TXN1325079] SUCCESS: [FOOD001] Rs.17.000000"
2026-04-29 20:13:25,PURCHASE,"[User: Cust1] [ID: TXN1325079] SUCCESS: [FOOD001] Rs.17.000000"
2026-04-29 20:13:50,REFUND,"REFUNDED: txn=1325079 product=FOOD001 stock restored"
2026-04-29 20:14:44,RESTOCK,"RESTOCK: [MED001] +4 | new stock: 54"
2026-04-29 20:15:36,FAILED,"[User: Cust2] [ID: TXN1536965] FAILED: Payment declined [MED001]"
2026-04-29 20:15:36,FAILED,"[User: Cust2] [ID: TXN1536965] FAILED: Payment declined [MED001]"
2026-04-29 20:15:57,PURCHASE,"[User: Cust2] [ID: TXN1557206] SUCCESS: [MED001] Rs.120.000000"
2026-04-29 20:15:57,PURCHASE,"[User: Cust2] [ID: TXN1557206] SUCCESS: [MED001] Rs.120.000000"
2026-04-29 20:15:57,PURCHASE,"[User: Cust2] [ID: TXN1557206] SUCCESS: [MED001] Rs.120.000000"
2026-04-29 20:15:57,PURCHASE,"[User: Cust2] [ID: TXN1557206] SUCCESS: [MED001] Rs.120.000000"
2026-04-29 21:31:59,FAILED,"[User: Cust1] [ID: TXN3159218] FAILED: Payment declined [MED001]"
2026-04-29 21:32:52,PURCHASE,"[User: Cust1] [ID: TXN3252960] SUCCESS: [MED002] Rs.80.000000"
